,6PG5,6PG6,6PG8,6PG9,6PG10,6PG11,6PG12,6PG15,6PG24,6PG25,6PG27,6PG28,6PG30,ML11,ML12,ML13,ML14,ML15,ML17,6PG33,6PG34,6PG35
69,0.040747328,0.074108098,0.103294225,0.10575269,0.018416363,0.045186918,0.004999834,0.110175069,0.133581705,0.053963202,0.108763798,0.140734996,0.018358168,0.090785409,0.054403763,0.027064803,0.062045733,0.140605887,0.15737026,0.059218564,0.330882433,0.465648565
70,0.085734392,0.065861899,0.066034786,0.144218967,0.027915867,0.037278001,0.002433195,0.018339034,0.102081114,0.756039901,0.041565244,0.044280327,0.044474537,0.01849734,0.250801546,0.045248832,0.042650494,0.029432841,0.42049744,0.08030522,0.200268981,0.069027641
71,0.03130284,0.070354835,0.052957685,0.037355162,0.008625157,0.088512752,0.067488636,0.054811934,0.002859354,0.105648,0.218714582,0.153853418,0.101257926,0.019457955,0.093049773,0.120433515,0.172082388,0.036611421,0.082983868,0.051947879,0.029861434,0.066143234
72,0.131818091,0.074104137,0.052959618,0.139207565,0.001952981,0.021712047,0.233511732,0.146088383,0.000312859,0.019588934,0.017692618,0.034597744,0.032708007,0.110777667,0.171404591,0.035510385,0.056166197,0.002323108,0.306491146,0.186662424,0.009001469,0.118849794
73,0.100875817,0.319693651,0.027110188,0.025704383,0.01477314,0.047861399,0.044355435,0.111693461,0.039908866,0.045884404,0.024708944,0.187736192,0.158272339,0.029799867,0.034233183,0.22672277,0.044348471,0.172956805,0.061556889,0.025260984,0.022412911,0.089002929
74,0.022722326,0.073141215,0.16512901,0.04237108,0.05918218,0.000571146,0.065344818,0.043621005,0.018404732,0.003117536,0.292807083,0.04150106,0.007940851,0.024004152,0.054565515,0.035561987,0.243146579,0.025669087,0.047627988,0.048211912,0.016030061,0.004536305
75,0.038096234,0.138439375,0.044252107,0.083136719,0.145646912,0,0.002252769,0.159630529,0.152535624,0.17451111,0.017158451,0.131325613,0.02054442,0.11101016,0.409702182,0.126362629,0.095416617,0.163652127,0.356158819,0.0308109,0.013285179,0.027729207
76,0.000980083,0.058547486,0.066678024,0.087328332,0.002321107,0.176480264,0.003288709,0.194652197,0.000405742,0.026519219,0.023938594,0.053232482,0.130470914,0.04160673,0.271417762,0.039496554,0.214070798,0.162416292,0.461692844,0.253768056,0.014130572,0.041832117
77,0.00927543,0.048405833,0.198486454,0.009033554,0.009584207,0.006714921,0.193197729,0.024841067,0.001100019,0.033304947,0.034480752,0.352569506,0.132907328,0.173161985,0.050539764,0.076228586,0.06729139,0.174892386,0.121814091,0.027414432,0.355085779,0.22223493
78,0.134916198,0.328260919,0.044483199,0.038621031,0.045169039,0.004367977,0.100036026,0.022774938,0.064523429,0.026030686,0.048817707,0.059253559,0.056091305,0.168624329,0.232935544,0.027128078,0.044367065,0.026928144,0.400356394,0.217538768,0.037671723,0.009271728
79,0.032392774,0.145576473,0.069462763,0.054719949,0.013275888,0.003083406,0.2627188,0.120902778,0.046976726,0.056698174,0.070442329,0.349710974,0.07461902,0.129702967,0.033870073,0.043963011,0.178670141,0.038170008,0.130612084,0.062585777,0.002952478,0.004016506
80,0.055241623,0.04916342,0.14673555,0.012213276,0.126052889,0.023312395,0.055111249,0.025183893,0.025197066,0.09752878,0.022224062,0.025946318,0.027635931,0.261070003,0.206427398,0.087573468,0.045421036,0.205969669,0.147050787,0.07570984,0.002510643,0.071711757
81,0.002327451,0.093856496,0.038350092,0.079739425,0.039356548,0.156509616,0.004848122,0.001695969,0.038175249,0.139701456,0.035743064,0.055031858,0.0300682,0.036107465,0.044703926,0.10466614,0.200466545,0.121959283,0.361653185,0.175152748,0.043153411,0.053488711
82,0.002767775,0.095978487,0.051946404,0.038194375,0.047716427,0.144758553,0.070864538,0.124617113,0.089821403,0.07221879,0.066668389,0.052026954,0.077508485,0.041334815,0.033481057,0.026834631,0.055785017,0.145365712,0.059057101,0.190341989,0.011881207,0.262331221
83,0.01577997,0.085954779,0.061004407,0.000447022,0.009436257,0.066818556,0.106619195,0.109744926,0.02606085,0.146326961,0.032388525,0.033507241,0.017803132,0.340554351,0.212753157,0.023354321,0.006533985,0.004269715,0.067654049,0.262877961,0.029558027,0.061220913
84,0.075744828,0.066555872,0.065568832,0.005236786,0.008174617,0.199816611,0.118537772,0.001638098,0.015601645,0.139662498,0.14931198,0.045823466,0.115507222,0.017666722,0.19306343,0.09881132,0.078378235,0.035590471,0.035799679,0.031676156,0.003773676,0.366906283
85,0.036652566,0.004573074,0.040584073,0.179236053,0.009409263,0.005836033,0.22528476,0.020821387,0.03554837,0.658136424,0.11251247,0.158197213,0.018724635,0.195822009,0.00324174,0.134595193,0.243496964,0.037369343,0.054568841,0.114801362,0.129913482,0.058538628
86,0.154500228,0.051499148,0.140251459,0.034698378,0.003409142,0.028535959,0.053827725,0.035979883,0.163529845,0.020959844,0.132601564,0.030482924,0.30055045,0.216355304,0.117854585,0.023359367,0.041551873,0.412101318,0.237735775,0.028809292,0.055079101,0.079238329
87,0.001904932,0.038942938,0.040622961,0.096961411,0.043477287,0.010632952,0.07602063,0.070015916,0.037742766,0.0082846,0.056024756,0.04663822,0.120263392,0.144253761,0.033042002,0.104765227,0.07797866,0.030884911,0.066667144,0.010651888,0.004448742,0.06578043
88,0.000711874,0.065808115,0.043755383,0.014583167,0.017661637,0.04647501,0.107047629,0.028982369,0.039220117,0.004675984,0.004845639,0.164157989,0.00830834,0.066802981,0.169900672,0.038971694,0.280129849,0.046532806,0.227377461,0.005733027,0.003680727,0.213292443
89,0.083535142,0.07137246,0.068872078,0.02496081,0.035633467,0.002682762,0.035394133,0.040963636,0.040695059,0.005174293,0.11962778,0.037259741,0.074230502,0.114255177,0.063709117,0.008087028,0.038620772,0.042599461,0.014375929,0.055220327,0.027827408,0.059041669
90,0.110867604,0.384285072,0.055346125,0.101230858,0.010889845,0.048229941,0.291020587,0.001838278,0.022320243,0.006460347,0.176816574,0.030272885,0.004298534,0.145373499,0.322295317,0.105703979,0.07701354,0.143469251,0.04977657,0.009116324,0.173012424,0.067090535
91,0.034539375,0.099114893,0.177144332,0.003663575,0.015991558,0.036969415,0.073518205,0.016150245,0.008981683,0.002102035,0.001927275,0.139911518,0.038306169,0.644782582,0.1540265,0.028419502,0.164987985,0.142502765,0.079627889,0.032931959,0.05216471,0.173014368
92,0.072797142,0.057414398,0.045630866,0.023369905,0.053817833,0.086860099,0.35057468,0.105123521,0.032052493,0.002369963,0.023306974,0.051287369,0.088129626,0.08298316,0.032851502,0.075945723,0.050240058,0.190045864,0.421382014,0.017286588,0.033952057,0.0627144
